ID,Time,Vol
1,7,50.0218
1,11,309.519
1,12,324.896
1,13,450.842
1,14,572.451
1,15,664.337
1,18,1151.69
1,19,1338.38
2,5,54.8864
2,6,59.408
2,7,85.6623
2,11,261.573
2,12,412.266
2,13,488.451
2,14,618.855
2,15,798.997
2,18,1218.72
2,19,1415.47
2,20,1410.15
3,6,89.2313
3,7,157.352
3,11,221.699
3,12,327.492
3,13,461.438
3,14,641.445
3,15,746.868
3,18,1359.46
4,6,55.3486
4,7,56.1758
4,11,103.331
4,12,155.32
4,13,167.959
4,14,219.379
4,15,412.378
4,18,584.192
4,19,762.074
4,20,880.326
4,21,1040.07
4,22,1335.14
5,5,68.809
5,6,59.8533
5,7,58.9885
5,11,179.665
5,12,309.788
5,13,470.571
5,14,480.93
5,15,488.778
5,18,1021.72
5,19,1278.53
5,20,1377.38
6,6,46.5024
6,7,55.1552
6,11,251.222
6,12,341.175
6,13,438.335
6,14,859.953
6,15,854.728
6,18,1143.28
7,6,94.728
7,7,126.094
7,11,333.137
7,12,538.681
7,13,669.93
7,14,762.528
7,15,923.718
8,11,201.165
8,12,316.383
8,13,338.24
8,14,411.959
8,15,586.667
8,18,991.882
8,19,1219.9
9,6,18.5673
9,7,73.2937
9,11,126.821
9,12,222.661
9,13,244.727
9,14,333.63
9,15,367.475
9,18,805.779
9,19,1030.03
9,20,1272.82
10,6,26.88
10,11,144.151
10,12,193.402
10,13,281.171
10,14,294.886
10,15,391.884
10,18,744.955
10,19,990.332
10,20,1085.31
10,21,1331.19
11,9,13.9921
11,10,23.745
11,11,42.2848
11,14,307.023
11,15,439.962
11,16,545.345
11,17,605.468
11,18,743.13
11,21,963.103
12,11,109.368
12,14,390.509
12,15,430.638
12,16,413.646
12,17,544.865
12,18,749.495
12,21,1312.83
12,22,1414.76
13,7,49.278
13,8,76.0582
13,9,148.781
13,10,118.591
13,11,202.428
13,14,568.548
13,15,1006.75
13,16,1085.09
13,17,1492.06
14,11,69.9004
14,14,242.184
14,15,370.533
14,16,408.186
14,17,522.235
14,18,616.251
14,21,1142.69
15,4,34.1572
15,7,153.563
15,8,240.712
15,9,279.214
15,10,423.001
15,11,424.662
16,7,67.3616
16,8,73.2771
16,9,81.9226
16,10,141.193
16,11,291.416
16,14,719.39
16,15,891.258
16,16,1026.12
16,17,1387.77
17,9,95.9948
17,10,268.431
17,11,375.774
17,14,639.088
17,15,924.356
17,16,889.974
17,17,1278.54
18,9,70.7443
18,10,94.6204
18,11,118.289
18,14,326.417
18,15,477.248
18,16,617.306
18,17,847.312
18,18,1168.65
19,9,105.726
19,10,193.448
19,11,247.537
19,14,660.645
19,15,677.33
19,16,844.108
19,17,1020.25
19,18,1257.93
20,7,68.8774
20,8,113.918
20,9,133.386
20,10,213.201
20,11,450.501
20,14,842.852
20,15,1069.63
20,16,1083.35
20,17,1106.76
20,18,1289.6
